name,ratings,prices,aminities,location,description
Al Bostan Hotel,2.5,,",Pool,Bar / lounge,Beach,Babysitting,Children Activities (Kid / Family Friendly),Non-smoking hotel,Dry cleaning,Laundry service,Restaurant,Air conditioning,Room service,Minibar,Non-smoking rooms","Naama Bay, Sharm El Sheikh Egypt","See why so many travellers make Al Bostan Hotel their hotel of choice when visiting Sharm El Sheikh. Providing an ideal mix of value, comfort and convenience, it offers a luxury setting with an array of amenities designed for travellers like you.Al Bostan Hotel offers guests an array of room amenities including air conditioning, a minibar, and a refrigerator.The hotel offers room service, to make your visit even more pleasant. The property also features a pool and an on-site restaurant.Close to some of Sharm El Sheikh's most popular landmarks, such as Ghibli Raceway (0.8 mi) and The Heavenly Cathedral (2.2 mi), Al Bostan Hotel is a great destination for tourists.During your visit, be sure to check out one of Sharm El Sheikh's popular shrimp restaurants such as Little Buddha, The Blue Fountain, and Fares Seafood Restaurant, all a short distance from Al Bostan Hotel.If you are interested in exploring Sharm El Sheikh, check out Hollywood Sharm El Sheikh (1.0 mi), which is a short walk from Al Bostan Hotel.We’re sure you’ll enjoy your stay at Al Bostan Hotel as you experience all of the things Sharm El Sheikh has to offer."
Dolphina Country Club,2.5,,",Pool,Bar / lounge,Babysitting,Children Activities (Kid / Family Friendly),Laundry service,Room service","El Motellat St. Umm El Sid Hill, Sharm El Sheikh Egypt","Everyone needs a place to lay their weary head. For travellers visiting Sharm El Sheikh, Dolphina Country Club is an excellent choice for rest and rejuvenation. Well-known for its proximity to great restaurants and attractions, Dolphina Country Club makes it easy to enjoy the best of Sharm El Sheikh.Dolphina Country Club features room service, to help make your stay more enjoyable. The property also boasts a pool and a lounge.Travellers looking to enjoy some filet mignon can head to L'entrecote Steak House. Otherwise, you may want to check out a pub such as The Queen Vic, Fruit City, or Kitano Top Bar.Best of all, Dolphina Country Club makes it easy to experience some great Sharm El Sheikh attractions like Al Mustafa Mosque, which is a popular architectural building.Dolphina Country Club Hotel is sure to make your visit to Sharm El Sheikh one worth remembering."
Valtur Sinai Groove,2.0,,,Sharm El Sheikh Egypt,Ottima cucina internazionale nel senso che in altri posti ho mangiato di meglio praticamente abbiamo fatto una settimana di dieta forzata unica nota positiva usciti dal resort si possono scegliere cari ristoranti del posto e per chi ha buon occhio può scegliere personalmente il pesce da cucinare assolutamente non bevete acqua del luogo 
Cleopatra Tsokkos Richy Hotel,2.5,,",Free parking,Wifi,Pool,Fitness Centre with Gym / Workout Room,Free breakfast,Beach,Tennis court,Shuttle bus service,Paid wifi,Hot bath,Outdoor pool,Bar / lounge,Restaurant,Breakfast available,Poolside bar,Evening entertainment,Business Centre with Internet Access,Conference facilities,Meeting rooms,Spa,Concierge,Non-smoking hotel,Laundry service,Self-serve laundry,Air conditioning,Room service,Minibar,Refrigerator,Non-smoking rooms","Om El Sid Hill, Sharm El Sheikh 46619 Egypt","Finding an ideal budget friendly hotel in Sharm El Sheikh does not have to be difficult. Welcome to Cleopatra Tsokkos Richy Hotel, a nice option for travellers like you.While staying at Cleopatra Tsokkos Hotel, visitors can check out The Heavenly Cathedral (1.8 mi) and Al Mustafa Mosque (1.8 mi), some of Sharm El Sheikh's top attractions.Cleopatra Tsokkos Hotel offers guests an array of room amenities including a flat screen TV, a minibar, and a refrigerator, and getting online is possible, as paid internet access is available.The hotel offers a concierge and room service, to make your visit even more pleasant. The property also features a pool and breakfast. Guests arriving by vehicle have access to free parking.If you are looking for a good seafood restaurant, you may want to check out Fares Seafood, Fares Seafood - IL Mercato, or El Fanar while staying at Cleopatra Tsokkos Richy Hotel.If you’re looking for things to do, you can check out King Tut Museum, which is a popular history museum amongst tourists.Cleopatra Tsokkos Richy Hotel looks forward to welcoming you on your visit to Sharm El Sheikh."
Royal Paradise Beach Resort,2.5,,",Free internet,Pool,Free breakfast,Beach,Tennis court,Babysitting,Children Activities (Kid / Family Friendly),Airport transportation,Public wifi,Adult pool,Outdoor pool,Bar / lounge,Restaurant,Breakfast buffet,Shuttle bus service,Meeting rooms,Concierge,Non-smoking hotel,Dry cleaning,Laundry service,Air conditioning,Room service,Minibar,Refrigerator,Non-smoking rooms,Family rooms","Ras Om El Sid, Sharm El Sheikh 5331 Egypt","Welcome to Royal Paradise Beach Resort, your Sharm El Sheikh “home away from home.” Royal Paradise Beach Resort aims to make your visit as relaxing and enjoyable as possible, which is why so many guests continue to come back year after year.For those interested in checking out The Heavenly Cathedral (2.7 mi) while visiting Sharm El Sheikh, Royal Paradise Beach Resort is a short distance away.Guest rooms offer air conditioning and a minibar, and Royal Paradise Resort makes getting online easy as free internet access is available.You can also take advantage of some of the amenities offered by the resort, including room service and a concierge. In addition, guests can enjoy a pool and free breakfast during their visit.During your visit, be sure to check out a popular Sharm El Sheikh ribs restaurant such as El Masrien Grill Restaurant, which is a short distance from Royal Paradise Beach Resort.If you’re looking for things to do, you can check out Al Mustafa Mosque, which is a popular architectural building amongst tourists.Royal Paradise Beach Resort puts the best of Sharm El Sheikh at your fingertips, making your stay both relaxing and enjoyable."
Riva Mar,2.0,,",Free High Speed Internet (WiFi),Pool,Fitness Centre with Gym / Workout Room,Bar / lounge,Tennis court,Babysitting,Children Activities (Kid / Family Friendly),Business Centre with Internet Access,Wifi,Hot bath,Restaurant,Meeting rooms,Concierge,Non-smoking hotel,Dry cleaning,Laundry service,Air conditioning,Room service,Minibar,Non-smoking rooms,Family rooms","Al Salam Road Nabq Bay, Sharm El Sheikh Egypt","Riva Mar is an excellent choice for travellers visiting Sharm El Sheikh, offering a luxury environment alongside many helpful amenities designed to enhance your stay.Given the close proximity to Musical Fountain Sharm el-Sheikh (1.7 mi), guests of Riva Mar can easily experience one of Sharm El Sheikh's most popular landmarks.Sol Y Mar Riva Mar Hotel offers guests an array of room amenities including air conditioning and a minibar, and getting online is possible, as free wifi is available.The hotel offers a concierge and room service, to make your visit even more pleasant. The property also features a pool and a lounge. Guests arriving by vehicle have access to free parking.If you’re looking for an Italian restaurant, consider a visit to Da Mauro ""Solo Pasta&Pizza"", Casa Mia, or Rosmarino, which are all conveniently located a short distance from Sol Y Mar Riva Mar Hotel.If you are interested in exploring Sharm El Sheikh, check out a history museum, such as King Tut Museum.Enjoy your stay in Sharm El Sheikh!"
Creative Badawia Resort,2.5,,",Free parking,Pool,Bar / lounge,Restaurant,Suites","El Forouseya St., Sharm El Sheikh Egypt","I was booked in with my family to stay for one night after a late trip from Israel back to Egypt. I have never seen anything like it. The reception was filthy; dirty curtains, broken lights, dirty toilets, no toilet tissue or hand towels. The room had broken lights a broken sink, dirty sheets, no towels, exposed wires in the bathroom and water coming through the floor.  When we showed the young man on reception his response was “It’s for one night” we spoke to the manager whose attitude was even worse.  We found a hotel that was clean and had professional staff 5 minutes down the road. This hotel needs to be closed down I wouldn’t put an animal in this hotel."
La Perla Hotel,3.5,,",Free parking,Free internet,Pool,Fitness Centre with Gym / Workout Room,Free breakfast,Beach,Children Activities (Kid / Family Friendly),Airport transportation,Internet,Bar / lounge,Restaurant,Shuttle bus service,Business Centre with Internet Access,Spa,Room service,Suites","El Foroseya St Umm El-Sid Plateau, Sharm El Sheikh 2222 Egypt","Located in Um El Sid, La Perla Sharm offers air conditioned rooms with a separate sitting area. Each room has a private balcony and some provide a view of the pools. La Perla features an adult and a children's pool. There is also a pool dedicated to sports like water polo and aqua gym. Large terraces furnished with lounge chairs surround each pool. International cuisine is served 3 times a day a"
Dreams Vacation Sharm El Sheikh,5.0,,,,Iitas nice beach pool and all hotel area is clean and super disinfected ts great  hotel with amazing staff reception  team and beverages.  Will recommend to all my friends Thanks a lot it's very nice place to enjoy. There is all activities  for us
Domina Aquamarine Hotel & Resort,4.0,,,,"My parents visited sharm for first time and I booked for them Domina for 5 days. As my parents first time out of their country, they enjoyed so much.  The big plug of the hotel - sea, beach, wellness zone, not bad food. One of the best place to make snorkeling.  From my side I would say big thanks for Mr Mahmoud sales manager, who met us and gave full welcoming, hospitality and respect. For Mr. Mohamed Shahat for his great staff and his great job. Also I would mention the reception staff - so patient and everything organized.  The big minus of the hotel concierge service - which give bad impression about the hotel; staff around the hotel, who doesn’t give service, don’t know any English word. No any information about bus, how to move around the hotel as the territory is too big.  Also paper cups, even at the main restaurant. Rooms a dated. The entertainment team do not engage with the guests at all, but evening shows are nice.  However the hotel is very nice. The credit of the hotel is beach and sea. Also amazing wellness zone and SPA.…"
